Was ist die Hauptstadt von Deutschland?;Geografie
Berlin;true
München;false
Hamburg;false
Köln;false
Wer schrieb das Buch 'Faust'?;Literatur
Johann Wolfgang von Goethe;true
Friedrich Schiller;false
Heinrich Heine;false
Thomas Mann;false
Was ist die chemische Formel für Wasser?;Chemie
H2O;true
CO2;false
NaCl;false
C6H12O6;false
Welcher Planet ist der vierte in unserem Sonnensystem?;Astronomie
Mars;true
Venus;false
Jupiter;false
Saturn;false
Wer malte die Mona Lisa?;Kunst
Leonardo da Vinci;true
Vincent van Gogh;false
Pablo Picasso;false
Michelangelo;false
Was ist die Hauptzutat in Pizza?;Kulinarik
Teig;false
Käse;false
Tomatensauce;true
Salami;false
In welchem Jahr landete der erste Mensch auf dem Mond?;Geschichte
1969;true
1973;false
1958;false
1985;false
Wer ist der berühmteste Detektiv der Weltliteratur?;Literatur
Sherlock Holmes;true
Hercule Poirot;false
Miss Marple;false
Columbo;false
Wie viele Kontinente gibt es auf der Welt?;Geografie
Sieben;true
Fünf;false
Neun;false
Drei;false
Was ist die längste Fluss Europas?;Geografie
Wolga;true
Donau;false
Rhein;false
Themse;false
Wie heißt die Hauptstadt von Spanien?;Geografie
Madrid;true
Barcelona;false
Valencia;false
Sevilla;false
Wer hat die Relativitätstheorie entwickelt?;Physik
Albert Einstein;true
Isaac Newton;false
Stephen Hawking;false
Galileo Galilei;false
Wie nennt man die kleinste Einheit von digitalen Daten?;Informatik
Bit;true
Byte;false
Megabyte;false
Kilobyte;false
Wer war der erste Bundeskanzler der Bundesrepublik Deutschland?;Geschichte
Konrad Adenauer;true
Willy Brandt;false
Helmut Kohl;false
Gerhard Schröder;false
Wer schrieb das Drama 'Hamlet'?;Literatur
William Shakespeare;true
Johann Wolfgang von Goethe;false
Friedrich Schiller;false
Henrik Ibsen;false
Wie viele Seiten hat ein gleichseitiges Dreieck?;Mathematik
Drei;true
Vier;false
Fünf;false
Sechs;false
Wer ist der Maler des Gemäldes 'Die Nachtwache'?;Kunst
Rembrandt;true
Vincent van Gogh;false
Pablo Picasso;false
Leonardo da Vinci;false
Wie viele Sekunden hat eine Stunde?;Mathematik
3600;true
60;false
600;false
360;false
Was ist die chemische Formel für Kohlendioxid?;Chemie
CO2;true
H2O;false
NaCl;false
C6H12O6;false
Wer war der erste Mensch im Weltraum?;Astronomie
Juri Gagarin;true
Neil Armstrong;false
Buzz Aldrin;false
Alan Shepard;false
Wie viele Spieler hat ein Basketball-Team auf dem Feld?;Sport
Fünf;true
Sechs;false
Sieben;false
Acht;false
Welches Land hat die meisten Einwohner weltweit?;Geografie
China;true
Indien;false
USA;false
Brasilien;false
Wer schrieb das Buch 'Der Name der Rose'?;Literatur
Umberto Eco;true
Gabriel García Márquez;false
Haruki Murakami;false
J.K. Rowling;false
Wie heißt die Hauptstadt von Italien?;Geografie
Rom;true
Mailand;false
Neapel;false
Venedig;false
Wie nennt man die kleinste Einheit von Speicherplatz auf einem Computer?;Informatik
Bit;true
Byte;false
Megabyte;false
Kilobyte;false
Wer war der erste Präsident der Vereinigten Staaten von Amerika?;Geschichte
George Washington;true
Thomas Jefferson;false
Abraham Lincoln;false
John F. Kennedy;false
Welcher Planet ist der drittgrößte in unserem Sonnensystem?;Astronomie
Erde;true
Venus;false
Mars;false
Jupiter;false
Wer malte das Gemälde 'Die Sonnenblumen'?;Kunst
Vincent van Gogh;true
Pablo Picasso;false
Leonardo da Vinci;false
Claude Monet;false
Welches Element hat das chemische Symbol 'Fe'?;Chemie
Eisen;true
Gold;false
Silber;false
